x,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
-4,2.0442796413812704E-9,5.096837544135945E-5,0.0481478099559171,7.842149195472459E-11,2.0664680964047508E-10,0.9147333932294488,0.9999981887286866,0.9999997731212187,4.137379844729061E-6,3.229723844226965E-6,0.918177084976041,6.898059474703349E-6,5.284538555446047E-8,1.4519247276463404E-7,2.0428804330554485E-6,9.23358905437245E-7,0.005001317900825188,3.9084689563472356E-5,4.709558329098919E-6,0.9445660292498393
-3,2.885043562728941E-8,3.4436443981350007E-4,0.15008610633093067,1.8205271989894804E-9,3.6547814764503637E-9,0.7830435260020188,0.9999864505168031,0.9999952743156958,8.22150276939357E-5,2.949690971413604E-5,0.2053542751122708,4.026316794704797E-5,6.470969454066748E-7,2.4295976088305575E-6,1.3211162047210997E-5,7.536241685839587E-6,0.018079112072073883,2.0129398282759238E-4,3.9332700472236484E-5,0.7851802344092529
-2,4.07159239109556E-7,0.0023227523099928404,0.3813746448379745,4.226289339035968E-8,6.46389213330272E-8,0.5483814737185609,0.9998986487950323,0.9999015769566495,0.0016313140939119718,2.6933629356837464E-4,0.005916051603418587,2.349734903887449E-4,7.923712812792541E-6,4.065453444275701E-5,8.543042657363708E-5,6.150614753721177E-5,0.06318214976970987,0.0010360068775477913,3.284103371657656E-4,0.43947200436655337
-1,5.746111627722464E-6,0.015490930538950598,0.6827612515643077,9.81117202761801E-7,1.1432108667354151E-6,0.29003276716151655,0.9992423160775367,0.9979539190915706,0.031450544025580604,0.002454523006470051,1.3703391646546033E-4,0.0013700014743136763,9.701805604158596E-5,6.798647565380262E-4,5.522207316617308E-4,5.017812283431597E-4,0.1981049828937735,0.005313657281198453,0.0027362647593081233,0.14396706932677417
0,8.108740835788184E-5,0.09611995055881031,0.8825392299930551,2.277579249012001E-5,2.0218585617383564E-5,0.12083112067631323,0.994359662745829,0.9590434490285848,0.3922105333288623,0.021978860979909646,3.156202878737084E-6,0.007944161103355097,0.0011867016817280222,0.011256228301093695,0.0035604629610921485,0.004080784352656446,0.47504721239358094,0.026780145151031894,0.022402515563604973,0.03481930552170177
1,0.0011431519776058119,0.4181649178125722,0.9632759146839551,5.284645881331631E-4,3.574678515666413E-4,0.04419503818394242,0.9592940724855418,0.5292337017135605,0.9276623920462215,0.1702954189062163,7.26850252754851E-8,0.04465476083824523,0.01433992709633606,0.1600184690761823,0.022585881754159,0.032360863830688674,0.7682386623473719,0.12414488183845669,0.16064618075227471,0.007678961028484618
2,0.01589477344574595,0.8292721286047883,0.9891974881079846,0.01212576622413834,0.006284734529947342,0.0153178576919357,0.7590526667321962,0.05120828518751248,0.9960914678371778,0.6521220663155459,1.6738774999142342E-9,0.21435331531231303,0.15121060784022175,0.7612113671170265,0.13000970462977415,0.21442735194302223,0.923908661359815,0.42200365958972086,0.6151633107183844,0.001657176441406401
3,0.18562947402937077,0.9704382387857805,0.9968816360148643,0.22175997658863655,0.1006026230973354,0.00520634222965221,0.2963294629881547,0.0025844771305905487,0.9998025900655392,0.9448148581481826,3.854804589690911E-11,0.6142822935903974,0.6856777105677434,0.9815985914015657,0.491460706176161,0.6901938133707554,0.9780107126413907,0.7899533591314668,0.9303167701473944,3.559370750741459E-4
4,0.7628587262663573,0.9955129144553804,0.9991047677811636,0.8686807167054171,0.6642370888450401,0.0017576541715225084,0.05329376288742503,1.24385503585213E-4,0.999990064477556,0.993645456413575,8.877303387925871E-13,0.9028744597043188,0.9639146284557321,0.9988809753787793,0.8620654578383616,0.9478708044403483,0.9938994170643418,0.9509136445112262,0.9911114424044667,7.637187502422158E-5
0006E-11
