y,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19
-4,0.9322113515548324,0.014990606036499847,0.9615575272305228,0.4474832585560529,0.9681459079439391,0.8464018919661627,0.403246570260869,0.5868036468700912,0.8932078329454193,0.001317575473160738,0.8796986657729639,0.6913466511056858,0.05240692561916755,0.8118343384828642,6.408081740052088E-5,0.1255816176484431,8.222563035043904E-4,0.7249807451612569,0.7136471417508125,0.9383956481167082
-3,0.8939046086572183,0.05466242116161534,0.9336960542811492,0.4914401444476813,0.9279756362063306,0.8005362748714003,0.5613361452263218,0.43688219536236417,0.8351432026969157,0.004056985950921197,0.8529846616598602,0.6246601535555694,0.1835547692868628,0.7536503260914372,4.0105418629390746E-4,0.6746125934697321,0.002900737247848039,0.653790367385337,0.639822960931316,0.8986230758886793
-2,0.8377193794635435,0.1801245631195768,0.8879939082282348,0.5355297842105688,0.8452452356682929,0.7450994287363705,0.7078839070885977,0.2976700006860557,0.7541959069952713,0.012421147387302238,0.8215419693935861,0.5528837623964135,0.4775134125483846,0.6844675103162017,0.0025055849288642706,0.9676684901649509,0.010179628317570907,0.5749754973735174,0.5587345412039524,0.8376161852990084
-1,0.7597759879650674,0.454961912310273,0.81696542295429,0.5790709978341807,0.6983744731335034,0.680406117931546,0.8210784340139778,0.18800730841157767,0.6501522735089101,0.037382190395531416,0.7850689899503586,0.4788332816774985,0.7879199346819946,0.6060127580334194,0.015482584153242678,0.9976908695166485,0.03508099715549459,0.4921553731388532,0.4743873993428802,0.750105730214998
0,0.6596079088392739,0.7602808455483061,0.7153337469432847,0.6214159965649035,0.4953384497453542,0.6079333595470456,0.8968045712310369,0.11228573191948638,0.529540534305291,0.10706590184679808,0.7434693590945469,0.4057014651047296,0.9378985403029205,0.5216827671025583,0.08963112321224831,0.9998396991062637,0.11388736294178081,0.4097635892443694,0.391476951855395,0.6359330015947197
1,0.5428057265471804,0.923372851229784,0.5858757846794747,0.6619876784014231,0.2938283333416957,0.5303695966051225,0.9427166478553626,0.06463409492884048,0.40537731432438207,0.27018692608452244,0.6969264508517792,0.3365267522329713,0.9839728154757049,0.43609848534559004,0.38134135956429016,0.9999888940980706,0.3124084016914606,0.3321438917470351,0.31438968991455896,0.5040834946069989
2,0.4210995465991838,0.9786253552651227,0.4433571691015383,0.7003083098972873,0.14993912461631684,0.4513104761307177,0.9689103769592534,0.03637612635433576,0.2922425197561211,0.5333801334636016,0.6459603707260728,0.2737145039749223,0.9960091477234169,0.3541587370701986,0.7941998894507708,0.9999992306722224,0.6162985362684555,0.262683734364164,0.24633712467348948,0.3716635833804063
3,0.3082815280080756,0.9942842937979494,0.3095897329593709,0.7360169544354233,0.06957122287708595,0.37463516206137004,0.9833382964310065,0.020205639329307655,0.20005891425786326,0.7792176897617485,0.5914479198007945,0.21876049502433192,0.9990153029099731,0.27997098417663246,0.9602551347617174,0.999999946707657,0.8502568624133947,0.20332715368303436,0.18895538720819982,0.2560678131470968
4,0.2144900170097479,0.9984892952045441,0.20156720306163228,0.7688750705905205,0.030723846806982584,0.30377450971177317,0.9911318610566433,0.01114040692300138,0.13154864266417024,0.9159467027880809,0.5345894541354079,0.17222338343952157,0.9997575883925983,0.21612331785115885,0.9934323305072602,0.9999999963083721,0.9525455443417419,0.15457114737290356,0.14241437171652999,0.16687640721220326
73,0.42049570309807277
32655973
0.986407661518474
